Combination,Capacitance,Total Volume
parallel:[47.0],47,86.39
parallel:[100.0],100,108.86
parallel:[220.0],220,144.51
parallel:[330.0],330,188.5
parallel:[470.0],470,251.33
parallel:[680.0],680,314.16
parallel:[820.0],820,392.7
parallel:[1000.0],1000,392.7
"parallel:[47.0, 100.0]",147,195.25
"parallel:[47.0, 220.0]",267,230.91
"parallel:[47.0, 330.0]",377,274.89
"parallel:[47.0, 470.0]",517,337.72
"parallel:[47.0, 680.0]",727,400.55
"parallel:[47.0, 820.0]",867,479.09
"parallel:[100.0, 220.0]",320,253.37
"parallel:[100.0, 330.0]",430,297.35
"parallel:[100.0, 470.0]",570,360.18
"parallel:[100.0, 680.0]",780,423.02
"parallel:[100.0, 820.0]",920,501.56
"parallel:[220.0, 330.0]",550,333.01
"parallel:[220.0, 470.0]",690,395.84
"parallel:[220.0, 680.0]",900,458.67
"parallel:[330.0, 470.0]",800,439.82
"parallel:[47.0, 100.0, 220.0]",367,339.76
"parallel:[47.0, 100.0, 330.0]",477,383.75
"parallel:[47.0, 100.0, 470.0]",617,446.58
"parallel:[47.0, 100.0, 680.0]",827,509.41
"parallel:[47.0, 100.0, 820.0]",967,587.95
"parallel:[47.0, 220.0, 330.0]",597,419.4
"parallel:[47.0, 220.0, 470.0]",737,482.23
"parallel:[47.0, 220.0, 680.0]",947,545.07
"parallel:[47.0, 330.0, 470.0]",847,526.22
"parallel:[100.0, 220.0, 330.0]",650,441.87
"parallel:[100.0, 220.0, 470.0]",790,504.7
"parallel:[100.0, 220.0, 680.0]",1000,567.53
"parallel:[100.0, 330.0, 470.0]",900,548.68
"parallel:[47.0, 100.0, 220.0, 330.0]",697,528.26
"parallel:[47.0, 100.0, 220.0, 470.0]",837,591.09
"parallel:[47.0, 100.0, 330.0, 470.0]",947,635.07
series:[47.0],47,86.39
series:[100.0],100,108.86
series:[220.0],220,144.51
series:[330.0],330,188.5
series:[470.0],470,251.33
series:[680.0],680,314.16
series:[820.0],820,392.7
series:[1000.0],1000,392.7
"series:[47.0, 100.0]",32,195.25
"series:[47.0, 220.0]",39,230.91
"series:[47.0, 330.0]",41,274.89
"series:[47.0, 470.0]",43,337.72
"series:[47.0, 680.0]",44,400.55
"series:[47.0, 820.0]",44,479.09
"series:[47.0, 1000.0]",45,479.09
"series:[100.0, 220.0]",69,253.37
"series:[100.0, 330.0]",77,297.35
"series:[100.0, 470.0]",82,360.18
"series:[100.0, 680.0]",87,423.02
"series:[100.0, 820.0]",89,501.56
"series:[100.0, 1000.0]",91,501.56
"series:[220.0, 330.0]",132,333.01
"series:[220.0, 470.0]",150,395.84
"series:[220.0, 680.0]",166,458.67
"series:[220.0, 820.0]",173,537.21
"series:[220.0, 1000.0]",180,537.21
"series:[330.0, 470.0]",194,439.82
"series:[330.0, 680.0]",222,502.65
"series:[330.0, 820.0]",235,581.19
"series:[330.0, 1000.0]",248,581.19
"series:[470.0, 680.0]",278,565.49
"series:[470.0, 820.0]",299,644.03
"series:[470.0, 1000.0]",320,644.03
"series:[680.0, 820.0]",372,706.86
"series:[680.0, 1000.0]",405,706.86
"series:[820.0, 1000.0]",451,785.4
"series:[47.0, 100.0, 220.0]",28,339.76
"series:[47.0, 100.0, 330.0]",29,383.75
"series:[47.0, 100.0, 470.0]",30,446.58
"series:[47.0, 100.0, 680.0]",31,509.41
"series:[47.0, 100.0, 820.0]",31,587.95
"series:[47.0, 100.0, 1000.0]",31,587.95
"series:[47.0, 220.0, 330.0]",35,419.4
"series:[47.0, 220.0, 470.0]",36,482.23
"series:[47.0, 220.0, 680.0]",37,545.07
"series:[47.0, 220.0, 820.0]",37,623.61
"series:[47.0, 220.0, 1000.0]",37,623.61
"series:[47.0, 330.0, 470.0]",38,526.22
"series:[47.0, 330.0, 680.0]",39,589.05
"series:[47.0, 330.0, 820.0]",39,667.59
"series:[47.0, 330.0, 1000.0]",40,667.59
"series:[47.0, 470.0, 680.0]",40,651.88
"series:[47.0, 470.0, 820.0]",41,730.42
"series:[47.0, 470.0, 1000.0]",41,730.42
"series:[47.0, 680.0, 820.0]",42,793.25
"series:[47.0, 680.0, 1000.0]",42,793.25
"series:[47.0, 820.0, 1000.0]",43,871.79
"series:[100.0, 220.0, 330.0]",57,441.87
"series:[100.0, 220.0, 470.0]",60,504.7
"series:[100.0, 220.0, 680.0]",62,567.53
"series:[100.0, 220.0, 820.0]",63,646.07
"series:[100.0, 220.0, 1000.0]",64,646.07
"series:[100.0, 330.0, 470.0]",66,548.68
"series:[100.0, 330.0, 680.0]",69,611.51
"series:[100.0, 330.0, 820.0]",70,690.05
"series:[100.0, 330.0, 1000.0]",71,690.05
"series:[100.0, 470.0, 680.0]",74,674.34
"series:[100.0, 470.0, 820.0]",75,752.88
"series:[100.0, 470.0, 1000.0]",76,752.88
"series:[100.0, 680.0, 820.0]",79,815.71
"series:[100.0, 680.0, 1000.0]",80,815.71
"series:[100.0, 820.0, 1000.0]",82,894.25
"series:[220.0, 330.0, 470.0]",103,584.34
"series:[220.0, 330.0, 680.0]",111,647.17
"series:[220.0, 330.0, 820.0]",114,725.71
"series:[220.0, 330.0, 1000.0]",117,725.71
"series:[220.0, 470.0, 680.0]",123,710.0
"series:[220.0, 470.0, 820.0]",127,788.54
"series:[220.0, 470.0, 1000.0]",130,788.54
"series:[220.0, 680.0, 820.0]",138,851.37
"series:[220.0, 680.0, 1000.0]",143,851.37
"series:[220.0, 820.0, 1000.0]",148,929.91
"series:[330.0, 470.0, 680.0]",151,753.98
"series:[330.0, 470.0, 820.0]",157,832.52
"series:[330.0, 470.0, 1000.0]",162,832.52
"series:[330.0, 680.0, 820.0]",175,895.35
"series:[330.0, 680.0, 1000.0]",182,895.35
"series:[330.0, 820.0, 1000.0]",190,973.89
"series:[470.0, 680.0, 820.0]",208,958.19
"series:[470.0, 680.0, 1000.0]",217,958.19
"series:[470.0, 820.0, 1000.0]",230,1036.73
"series:[680.0, 820.0, 1000.0]",271,1099.56
"series:[47.0, 100.0, 220.0, 330.0]",26,528.26
"series:[47.0, 100.0, 220.0, 470.0]",26,591.09
"series:[47.0, 100.0, 220.0, 680.0]",27,653.92
"series:[47.0, 100.0, 220.0, 820.0]",27,732.46
"series:[47.0, 100.0, 220.0, 1000.0]",27,732.46
"series:[47.0, 100.0, 330.0, 470.0]",27,635.07
"series:[47.0, 100.0, 330.0, 680.0]",28,697.9
"series:[47.0, 100.0, 330.0, 820.0]",28,776.44
"series:[47.0, 100.0, 330.0, 1000.0]",28,776.44
"series:[47.0, 100.0, 470.0, 680.0]",29,760.74
"series:[47.0, 100.0, 470.0, 820.0]",29,839.28
"series:[47.0, 100.0, 470.0, 1000.0]",29,839.28
"series:[47.0, 100.0, 680.0, 820.0]",29,902.11
"series:[47.0, 100.0, 680.0, 1000.0]",30,902.11
"series:[47.0, 100.0, 820.0, 1000.0]",30,980.65
"series:[47.0, 220.0, 330.0, 470.0]",32,670.73
"series:[47.0, 220.0, 330.0, 680.0]",33,733.56
"series:[47.0, 220.0, 330.0, 820.0]",33,812.1
