Combination,Capacitance,Total Volume
parallel:[4.7e-05] and series:[4.7e-05],9.4e-05,4.32e-07
parallel:[4.7e-05] and series:[0.0001],0.000147,5.59e-07
parallel:[4.7e-05] and series:[0.00022],0.000267,7.94e-07
parallel:[4.7e-05] and series:[0.00033],0.000377,9.7e-07
parallel:[4.7e-05] and series:[0.00047],0.000517,1.221e-06
parallel:[4.7e-05] and series:[0.00068],0.000727,1.787e-06
parallel:[4.7e-05] and series:[0.00082],0.000867,2.179e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001]",7.8973e-05,7.75e-07
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022]",8.5727e-05,1.01e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033]",8.8141e-05,1.186e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00047]",8.9727e-05,1.437e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00068]",9.0961e-05,2.003e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00082]",9.1452e-05,2.395e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.001]",9.189e-05,2.886e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022]",0.00011575,1.137e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033]",0.000123744,1.313e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047]",0.000129456,1.564e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00068]",0.000134179,2.13e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00082]",0.00013613,2.522e-06
"parallel:[4.7e-05] and series:[0.0001, 0.001]",0.000137909,3.013e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033]",0.000179,1.548e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00047]",0.000196855,1.799e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00068]",0.000213222,2.365e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00082]",0.000220462,2.758e-06
"parallel:[4.7e-05] and series:[0.00022, 0.001]",0.000227328,3.248e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047]",0.000240875,1.975e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00068]",0.000269178,2.541e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00082]",0.000282304,2.933e-06
"parallel:[4.7e-05] and series:[0.00033, 0.001]",0.00029512,3.424e-06
"parallel:[4.7e-05] and series:[0.00047, 0.00068]",0.000324913,2.792e-06
"parallel:[4.7e-05] and series:[0.00047, 0.00082]",0.00034576,3.185e-06
"parallel:[4.7e-05] and series:[0.00047, 0.001]",0.000366728,3.676e-06
"parallel:[4.7e-05] and series:[0.00068, 0.00082]",0.000418733,3.75e-06
"parallel:[4.7e-05] and series:[0.00068, 0.001]",0.000451762,4.241e-06
"parallel:[4.7e-05] and series:[0.00082, 0.001]",0.000497549,4.634e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022]",7.4916e-05,1.353e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00033]",7.6149e-05,1.529e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00047]",7.6936e-05,1.78e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00068]",7.7537e-05,2.346e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00082]",7.7773e-05,2.738e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.001]",7.7982e-05,3.229e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00033]",8.1659e-05,1.764e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00047]",8.2779e-05,2.015e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00068]",8.364e-05,2.581e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00082]",8.398e-05,2.974e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.001]",8.4283e-05,3.464e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00047]",8.4829e-05,2.191e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00068]",8.5794e-05,2.757e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00082]",8.6175e-05,3.149e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.001]",8.6515e-05,3.64e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00047, 0.00068]",8.7201e-05,3.008e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00047, 0.00082]",8.7611e-05,3.401e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00047, 0.001]",8.7976e-05,3.892e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00068, 0.00082]",8.8725e-05,3.966e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00068, 0.001]",8.911e-05,4.457e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00082, 0.001]",8.956e-05,4.85e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00033]",0.000103897,1.891e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00047]",0.000106977,2.142e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00068]",0.000109437,2.708e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00082]",0.000110432,3.1e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.001]",0.000111327,3.591e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00047]",0.000112972,2.318e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00068]",0.000115961,2.884e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00082]",0.000117176,3.276e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.001]",0.000118274,3.767e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047, 0.00068]",0.000120539,3.135e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047, 0.00082]",0.000121922,3.528e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047, 0.001]",0.000123175,4.019e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00068, 0.00082]",0.000125802,4.093e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00068, 0.001]",0.000127189,4.584e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00082, 0.001]",0.000128836,4.977e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00047]",0.000150056,2.553e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00068]",0.000157542,3.119e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00082]",0.000160697,3.512e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.001]",0.000163608,4.002e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00047, 0.00068]",0.000169794,3.37e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00047, 0.00082]",0.000173701,3.763e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00047, 0.001]",0.000177325,4.254e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00068, 0.00082]",0.000185206,4.328e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00068, 0.001]",0.00018953,4.819e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00082, 0.001]",0.00019482,5.212e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047, 0.00068]",0.000197863,3.546e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047, 0.00082]",0.000203802,3.939e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047, 0.001]",0.000209391,4.43e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00068, 0.00082]",0.000221813,4.504e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00068, 0.001]",0.000228789,4.995e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00082, 0.001]",0.000237483,5.388e-06
"parallel:[4.7e-05] and series:[0.00047, 0.00068, 0.00082]",0.000254565,4.756e-06
"parallel:[4.7e-05] and series:[0.00047, 0.00068, 0.001]",0.000264474,5.246e-06
"parallel:[4.7e-05] and series:[0.00047, 0.00082, 0.001]",0.000277035,5.639e-06
"parallel:[4.7e-05] and series:[0.00068, 0.00082, 0.001]",0.000317995,6.205e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.00033]",7.2738e-05,2.107e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.00047]",7.3351e-05,2.358e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.00068]",7.3815e-05,2.924e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.00082]",7.3997e-05,3.316e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.001]",7.4158e-05,3.807e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00033, 0.00047]",7.4446e-05,2.534e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00033, 0.00068]",7.4951e-05,3.1e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00033, 0.00082]",7.5148e-05,3.492e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00033, 0.001]",7.5323e-05,3.983e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00047, 0.00068]",7.5674e-05,3.351e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00047, 0.00082]",7.5882e-05,3.744e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00047, 0.001]",7.6066e-05,4.235e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00068, 0.00082]",7.6441e-05,4.309e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00068, 0.001]",7.6632e-05,4.8e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00082, 0.001]",7.6854e-05,5.193e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00033, 0.00047]",7.9279e-05,2.769e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00033, 0.00068]",7.9978e-05,3.335e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00033, 0.00082]",8.0254e-05,3.728e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00033, 0.001]",8.0498e-05,4.218e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00047, 0.00068]",8.099e-05,3.586e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00047, 0.00082]",8.1283e-05,3.979e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00047, 0.001]",8.1543e-05,4.47e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00068, 0.00082]",8.2073e-05,4.544e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00068, 0.001]",8.2345e-05,5.035e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00022, 0.00082, 0.001]",8.2661e-05,5.428e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00047, 0.00068]",8.2836e-05,3.762e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00047, 0.00082]",8.3161e-05,4.155e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00047, 0.001]",8.345e-05,4.646e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00068, 0.00082]",8.4041e-05,4.72e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00068, 0.001]",8.4345e-05,5.211e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00033, 0.00082, 0.001]",8.4698e-05,5.604e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00047, 0.00068, 0.00082]",8.5322e-05,4.972e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00047, 0.00068, 0.001]",8.5648e-05,5.462e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00047, 0.00082, 0.001]",8.6026e-05,5.855e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.00068, 0.00082, 0.001]",8.7053e-05,6.421e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00033, 0.00047]",9.7753e-05,2.896e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00033, 0.00068]",9.9504e-05,3.462e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00033, 0.00082]",0.000100205,3.854e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00033, 0.001]",0.000100834,4.345e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00047, 0.00068]",0.000102116,3.713e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00047, 0.00082]",0.000102889,4.106e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00047, 0.001]",0.000103583,4.597e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00068, 0.00082]",0.00010502,4.671e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00068, 0.001]",0.000105768,5.162e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00022, 0.00082, 0.001]",0.000106648,5.555e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00047, 0.00068]",0.000107138,3.889e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00047, 0.00082]",0.000108059,4.282e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00047, 0.001]",0.000108889,4.773e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00068, 0.00082]",0.000110612,4.847e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00068, 0.001]",0.000111512,5.338e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00033, 0.00082, 0.001]",0.000112575,5.731e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047, 0.00068, 0.00082]",0.000114487,5.098e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047, 0.00068, 0.001]",0.000115501,5.589e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00047, 0.00082, 0.001]",0.0001167,5.982e-06
"parallel:[4.7e-05] and series:[0.0001, 0.00068, 0.00082, 0.001]",0.000120045,6.548e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00047, 0.00068]",0.000136493,4.124e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00047, 0.00082]",0.000138551,4.517e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00047, 0.001]",0.000140428,5.008e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00068, 0.00082]",0.00014441,5.082e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00068, 0.001]",0.000146539,5.573e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00033, 0.00082, 0.001]",0.00014909,5.966e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00047, 0.00068, 0.00082]",0.000153801,5.334e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00047, 0.00068, 0.001]",0.000156365,5.825e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00047, 0.00082, 0.001]",0.000159453,6.217e-06
"parallel:[4.7e-05] and series:[0.00022, 0.00068, 0.00082, 0.001]",0.000168425,6.783e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047, 0.00068, 0.00082]",0.00017442,5.51e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047, 0.00068, 0.001]",0.000178086,6e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00047, 0.00082, 0.001]",0.000182548,6.393e-06
"parallel:[4.7e-05] and series:[0.00033, 0.00068, 0.00082, 0.001]",0.000195801,6.959e-06
"parallel:[4.7e-05] and series:[0.00047, 0.00068, 0.00082, 0.001]",0.000218887,7.21e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00047]",7.1402e-05,3.112e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00068]",7.18e-05,3.678e-06
"parallel:[4.7e-05] and series:[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00082]",7.1955e-05,4.07e-06
