Combination,Capacitance,Total Volume
parallel:[4.7e-05],4.7e-05,8.63938e-05
parallel:[0.0001],0.0001,0.000108856
parallel:[0.00022],0.00022,0.000144513
parallel:[0.00033],0.00033,0.000188496
parallel:[0.00047],0.00047,0.000251327
parallel:[0.00068],0.00068,0.000314159
parallel:[0.00082],0.00082,0.000392699
parallel:[0.001],0.001,0.000392699
"parallel:[4.7e-05, 0.0001]",0.000147,0.0001952498
"parallel:[4.7e-05, 0.00022]",0.000267,0.00023090680000000002
"parallel:[4.7e-05, 0.00033]",0.000377,0.0002748898
"parallel:[4.7e-05, 0.00047]",0.000517,0.00033772079999999996
"parallel:[4.7e-05, 0.00068]",0.000727,0.0004005528
"parallel:[4.7e-05, 0.00082]",0.0008669999999999999,0.0004790928
"parallel:[4.7e-05, 0.001]",0.001047,0.0004790928
"parallel:[0.0001, 0.00022]",0.00032,0.00025336900000000003
"parallel:[0.0001, 0.00033]",0.00043,0.00029735199999999997
"parallel:[0.0001, 0.00047]",0.00057,0.000360183
"parallel:[0.0001, 0.00068]",0.0007800000000000001,0.000423015
"parallel:[0.0001, 0.00082]",0.00092,0.000501555
"parallel:[0.0001, 0.001]",0.0011,0.000501555
"parallel:[0.00022, 0.00033]",0.00055,0.000333009
"parallel:[0.00022, 0.00047]",0.00069,0.00039583999999999995
"parallel:[0.00022, 0.00068]",0.0009000000000000001,0.00045867200000000003
"parallel:[0.00022, 0.00082]",0.00104,0.000537212
"parallel:[0.00022, 0.001]",0.00122,0.000537212
"parallel:[0.00033, 0.00047]",0.0007999999999999999,0.000439823
"parallel:[0.00033, 0.00068]",0.00101,0.000502655
"parallel:[0.00033, 0.00082]",0.00115,0.000581195
"parallel:[0.00033, 0.001]",0.00133,0.000581195
"parallel:[0.00047, 0.00068]",0.00115,0.000565486
"parallel:[0.00047, 0.00082]",0.00129,0.000644026
"parallel:[0.00047, 0.001]",0.00147,0.000644026
"parallel:[0.00068, 0.00082]",0.0015,0.000706858
"parallel:[0.00068, 0.001]",0.00168,0.000706858
"parallel:[0.00082, 0.001]",0.00182,0.000785398
"parallel:[4.7e-05, 0.0001, 0.00022]",0.00036700000000000003,0.0003397628
"parallel:[4.7e-05, 0.0001, 0.00033]",0.000477,0.00038374579999999995
"parallel:[4.7e-05, 0.0001, 0.00047]",0.0006169999999999999,0.00044657679999999996
"parallel:[4.7e-05, 0.0001, 0.00068]",0.000827,0.0005094088
"parallel:[4.7e-05, 0.0001, 0.00082]",0.000967,0.0005879488
"parallel:[4.7e-05, 0.0001, 0.001]",0.001147,0.0005879488
"parallel:[4.7e-05, 0.00022, 0.00033]",0.000597,0.0004194028
"parallel:[4.7e-05, 0.00022, 0.00047]",0.000737,0.0004822338
"parallel:[4.7e-05, 0.00022, 0.00068]",0.000947,0.0005450658
"parallel:[4.7e-05, 0.00022, 0.00082]",0.0010869999999999999,0.0006236058
"parallel:[4.7e-05, 0.00022, 0.001]",0.001267,0.0006236058
"parallel:[4.7e-05, 0.00033, 0.00047]",0.000847,0.0005262168
"parallel:[4.7e-05, 0.00033, 0.00068]",0.001057,0.0005890488000000001
"parallel:[4.7e-05, 0.00033, 0.00082]",0.001197,0.0006675888
"parallel:[4.7e-05, 0.00033, 0.001]",0.001377,0.0006675888
"parallel:[4.7e-05, 0.00047, 0.00068]",0.0011970000000000001,0.0006518798
"parallel:[4.7e-05, 0.00047, 0.00082]",0.001337,0.0007304198
"parallel:[4.7e-05, 0.00047, 0.001]",0.0015170000000000001,0.0007304198
"parallel:[4.7e-05, 0.00068, 0.00082]",0.001547,0.0007932518
"parallel:[4.7e-05, 0.00068, 0.001]",0.001727,0.0007932518
"parallel:[4.7e-05, 0.00082, 0.001]",0.001867,0.0008717918
"parallel:[0.0001, 0.00022, 0.00033]",0.00065,0.00044186500000000005
"parallel:[0.0001, 0.00022, 0.00047]",0.00079,0.000504696
"parallel:[0.0001, 0.00022, 0.00068]",0.001,0.0005675280000000001
"parallel:[0.0001, 0.00022, 0.00082]",0.00114,0.0006460680000000001
"parallel:[0.0001, 0.00022, 0.001]",0.00132,0.0006460680000000001
"parallel:[0.0001, 0.00033, 0.00047]",0.0009,0.0005486789999999999
"parallel:[0.0001, 0.00033, 0.00068]",0.00111,0.0006115109999999999
"parallel:[0.0001, 0.00033, 0.00082]",0.00125,0.0006900509999999999
"parallel:[0.0001, 0.00033, 0.001]",0.00143,0.0006900509999999999
"parallel:[0.0001, 0.00047, 0.00068]",0.00125,0.000674342
"parallel:[0.0001, 0.00047, 0.00082]",0.00139,0.000752882
"parallel:[0.0001, 0.00047, 0.001]",0.00157,0.000752882
"parallel:[0.0001, 0.00068, 0.00082]",0.0016,0.0008157139999999999
"parallel:[0.0001, 0.00068, 0.001]",0.0017800000000000001,0.0008157139999999999
"parallel:[0.0001, 0.00082, 0.001]",0.00192,0.0008942539999999999
"parallel:[0.00022, 0.00033, 0.00047]",0.00102,0.000584336
"parallel:[0.00022, 0.00033, 0.00068]",0.0012300000000000002,0.000647168
"parallel:[0.00022, 0.00033, 0.00082]",0.0013700000000000001,0.000725708
"parallel:[0.00022, 0.00033, 0.001]",0.0015500000000000002,0.000725708
"parallel:[0.00022, 0.00047, 0.00068]",0.0013700000000000001,0.000709999
"parallel:[0.00022, 0.00047, 0.00082]",0.00151,0.000788539
"parallel:[0.00022, 0.00047, 0.001]",0.00169,0.000788539
"parallel:[0.00022, 0.00068, 0.00082]",0.0017200000000000002,0.0008513710000000001
"parallel:[0.00022, 0.00068, 0.001]",0.0019000000000000002,0.0008513710000000001
"parallel:[0.00022, 0.00082, 0.001]",0.00204,0.0009299110000000001
"parallel:[0.00033, 0.00047, 0.00068]",0.00148,0.000753982
"parallel:[0.00033, 0.00047, 0.00082]",0.00162,0.000832522
"parallel:[0.00033, 0.00047, 0.001]",0.0018,0.000832522
"parallel:[0.00033, 0.00068, 0.00082]",0.00183,0.0008953539999999999
"parallel:[0.00033, 0.00068, 0.001]",0.00201,0.0008953539999999999
"parallel:[0.00033, 0.00082, 0.001]",0.00215,0.0009738939999999999
"parallel:[0.00047, 0.00068, 0.00082]",0.00197,0.0009581850000000001
"parallel:[0.00047, 0.00068, 0.001]",0.00215,0.0009581850000000001
"parallel:[0.00047, 0.00082, 0.001]",0.00229,0.001036725
"parallel:[0.00068, 0.00082, 0.001]",0.0025,0.001099557
"parallel:[4.7e-05, 0.0001, 0.00022, 0.00033]",0.000697,0.0005282588
"parallel:[4.7e-05, 0.0001, 0.00022, 0.00047]",0.0008370000000000001,0.0005910898
"parallel:[4.7e-05, 0.0001, 0.00022, 0.00068]",0.0010470000000000002,0.0006539218000000001
"parallel:[4.7e-05, 0.0001, 0.00022, 0.00082]",0.0011870000000000001,0.0007324618000000001
"parallel:[4.7e-05, 0.0001, 0.00022, 0.001]",0.0013670000000000002,0.0007324618000000001
"parallel:[4.7e-05, 0.0001, 0.00033, 0.00047]",0.0009469999999999999,0.0006350727999999999
"parallel:[4.7e-05, 0.0001, 0.00033, 0.00068]",0.001157,0.0006979047999999999
"parallel:[4.7e-05, 0.0001, 0.00033, 0.00082]",0.001297,0.0007764447999999999
"parallel:[4.7e-05, 0.0001, 0.00033, 0.001]",0.001477,0.0007764447999999999
"parallel:[4.7e-05, 0.0001, 0.00047, 0.00068]",0.001297,0.0007607358
"parallel:[4.7e-05, 0.0001, 0.00047, 0.00082]",0.001437,0.0008392758
"parallel:[4.7e-05, 0.0001, 0.00047, 0.001]",0.001617,0.0008392758
"parallel:[4.7e-05, 0.0001, 0.00068, 0.00082]",0.001647,0.0009021077999999999
"parallel:[4.7e-05, 0.0001, 0.00068, 0.001]",0.001827,0.0009021077999999999
"parallel:[4.7e-05, 0.0001, 0.00082, 0.001]",0.001967,0.0009806478
"parallel:[4.7e-05, 0.00022, 0.00033, 0.00047]",0.001067,0.0006707298
"parallel:[4.7e-05, 0.00022, 0.00033, 0.00068]",0.001277,0.0007335618
"parallel:[4.7e-05, 0.00022, 0.00033, 0.00082]",0.0014169999999999999,0.0008121018
"parallel:[4.7e-05, 0.00022, 0.00033, 0.001]",0.001597,0.0008121018
"parallel:[4.7e-05, 0.00022, 0.00047, 0.00068]",0.001417,0.0007963928
"parallel:[4.7e-05, 0.00022, 0.00047, 0.00082]",0.001557,0.0008749328
"parallel:[4.7e-05, 0.00022, 0.00047, 0.001]",0.001737,0.0008749328
"parallel:[4.7e-05, 0.00022, 0.00068, 0.00082]",0.001767,0.0009377648000000001
"parallel:[4.7e-05, 0.00022, 0.00068, 0.001]",0.001947,0.0009377648000000001
"parallel:[4.7e-05, 0.00022, 0.00082, 0.001]",0.002087,0.0010163048
"parallel:[4.7e-05, 0.00033, 0.00047, 0.00068]",0.0015270000000000001,0.0008403758
"parallel:[4.7e-05, 0.00033, 0.00047, 0.00082]",0.001667,0.0009189158
"parallel:[4.7e-05, 0.00033, 0.00047, 0.001]",0.0018470000000000001,0.0009189158
"parallel:[4.7e-05, 0.00033, 0.00068, 0.00082]",0.001877,0.0009817478
"parallel:[4.7e-05, 0.00033, 0.00068, 0.001]",0.002057,0.0009817478
"parallel:[4.7e-05, 0.00033, 0.00082, 0.001]",0.002197,0.0010602878
"parallel:[4.7e-05, 0.00047, 0.00068, 0.00082]",0.002017,0.0010445788
"parallel:[4.7e-05, 0.00047, 0.00068, 0.001]",0.002197,0.0010445788
"parallel:[4.7e-05, 0.00047, 0.00082, 0.001]",0.002337,0.0011231188
"parallel:[4.7e-05, 0.00068, 0.00082, 0.001]",0.002547,0.0011859508
"parallel:[0.0001, 0.00022, 0.00033, 0.00047]",0.00112,0.000693192
"parallel:[0.0001, 0.00022, 0.00033, 0.00068]",0.00133,0.0007560240000000001
"parallel:[0.0001, 0.00022, 0.00033, 0.00082]",0.00147,0.0008345640000000001
"parallel:[0.0001, 0.00022, 0.00033, 0.001]",0.00165,0.0008345640000000001
"parallel:[0.0001, 0.00022, 0.00047, 0.00068]",0.00147,0.0008188550000000001
"parallel:[0.0001, 0.00022, 0.00047, 0.00082]",0.0016099999999999999,0.000897395
"parallel:[0.0001, 0.00022, 0.00047, 0.001]",0.00179,0.000897395
"parallel:[0.0001, 0.00022, 0.00068, 0.00082]",0.00182,0.0009602270000000001
"parallel:[0.0001, 0.00022, 0.00068, 0.001]",0.002,0.0009602270000000001
"parallel:[0.0001, 0.00022, 0.00082, 0.001]",0.00214,0.0010387670000000001
"parallel:[0.0001, 0.00033, 0.00047, 0.00068]",0.00158,0.0008628379999999999
"parallel:[0.0001, 0.00033, 0.00047, 0.00082]",0.00172,0.0009413779999999999
